State,District,Latitude,Longitude,Population,Male_Literate,Female_Literate,SC,Male_SC,Female_SC,ST,Male_ST,Female_ST,Workers,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Households_with_Car_Jeep_Van,Households_with_Scooter_Motorcycle_Moped,sex_ratio,literacy_rate
Tamil Nadu,Vellore,12.784882632293078,79.02643283582084,3936331,1504355,1269573,860212,424668,435544,72955,36663,36292,1689330,1123874,565456,1360185,329145,2247001,175108,391955,136415,985852,3397857,414760,111390,676,438,3514,417535,865913,20623,1140300,191963,721473,719731,641585,311434,308514,2096113,1116437,720713,20393,286002,101.0,70.0
Tamil Nadu,Virudhunagar,9.468872195892564,77.87641469194315,1942288,760375,638413,399831,198704,201127,2294,1182,1112,950158,579111,371047,854066,96092,992130,57153,208702,35298,649005,1822626,47838,67405,245,87,98,235005,505950,10219,734724,163264,398670,317054,230321,138306,167506,987538,575006,378174,9845,119486,101.0,72.0
Tripura,Dhalai,23.781360477941163,91.94654283088232,378230,151643,124574,61688,31461,30227,210608,106759,103849,155831,105657,50174,108259,47572,222399,45956,42201,2870,64804,307120,8256,22940,175,39120,85,5532,46875,273,103528,64515,84516,74015,21430,9157,6425,232286,95548,50269,907,3006,94.0,73.0
Tripura,North Tripura,24.121739755351683,92.17842538226292,693947,275646,244756,114968,58375,56593,179426,91116,88310,248667,186034,62633,186105,62562,445280,49286,43977,7088,148316,507967,105737,44062,151,34717,307,19631,81601,997,192621,129329,179547,158211,47160,22720,18419,414878,178608,100274,2726,9201,97.0,75.0
Tripura,South Tripura,23.211874098057383,91.6065807585568,876001,351082,295728,140168,72012,68156,344835,173174,171661,366845,253229,113616,258457,108388,509156,85530,111332,6375,163608,736015,49258,39258,245,49420,106,20246,133744,948,264077,129846,223185,204201,70173,31690,26870,505558,236676,133424,3454,12757,96.0,74.0
Tripura,West Tripura,23.780166241299337,91.41310788863107,1725739,722998,638356,338094,172522,165572,431944,217278,214666,698178,500406,197772,524198,173980,1027561,115175,156108,25163,401732,1512801,152791,53622,499,2128,362,103228,314567,6394,506637,248343,421485,451563,156277,88122,85405,940424,499719,284637,11356,44499,96.0,79.0
Uttar Pradesh,Agra,26.99512974910393,78.05278291517321,4418797,1614594,1065916,991325,531641,459684,7255,3827,3428,1389844,1119701,270143,1050562,339282,3028953,285471,234455,94184,775734,3922718,411313,10076,12057,4049,21508,251013,536402,27183,903823,600839,904836,647340,450571,317618,199395,2871903,991255,547873,44989,243761,87.0,61.0
Uttar Pradesh,Aligarh,27.93748576850093,78.00146831119557,3673889,1283380,809187,755254,402483,352771,629,340,289,1174361,929337,245024,865799,308562,2499528,281501,267197,78566,547097,2904140,729283,7635,5875,2582,2805,153283,268120,13634,858059,456870,491605,443958,334738,216997,172585,2378289,787408,472667,21667,151973,88.0,57.0
Uttar Pradesh,Allahabad,25.392038662316445,82.05172446982063,5954391,2199340,1466387,1309851,687076,622775,7955,4270,3685,2111907,1426110,685797,1286732,825175,3842484,474283,541146,185877,910601,5102041,796756,13782,4377,4391,2247,204357,391542,24122,1248570,823863,934881,738076,596615,502826,428871,3764404,1335224,818137,41965,243219,90.0,62.0
Uttar Pradesh,Ambedkar Nagar,26.39119025974028,82.68282142857147,2397888,846676,640263,591125,298240,292885,746,406,340,787398,547406,239992,440998,346400,1610490,213814,301120,58520,213944,1985654,401678,2536,869,1817,235,21512,99581,2509,566590,342667,392873,353570,247028,172872,194387,1499494,515229,367234,9813,60203,98.0,62.0
